1960	559.0	193.9	177.9	12.5	22.5	53.7	13.3	63.1	12.5	5.2
1961	545.3	193.4	173.1	12.6	22.1	43.4	13.3	60.6	12.2	5.2
1962	556.9	193.3	174.0	14.2	22.6	47.1	13.8	62.9	12.8	5.4
1963	563.4	194.7	173.9	16.5	23.1	55.6	14.0	64.0	13.0	5.4
1964	543.3	193.6	167.0	16.3	22.5	45.4	14.2	64.1	12.7	5.7
1965	542.5	195.6	166.4	18.3	22.9	46.8	14.9	65.8	13.0	6.1
1966	541.2	196.5	165.8	19.2	23.6	47.9	15.9	67.6	12.7	6.5
1967	524.7	197.3	159.3	19.2	23.4	42.2	16.3	66.2	12.5	7.5
1968	531.0	198.8	162.5	20.7	25.3	52.8	16.9	65.6	12.4	8.1
1969	516.8	198.5	155.4	20.9	25.1	47.9	17.1	64.9	12.7	8.3
1970	492.7	198.6	147.7	21.3	24.3	41.7	17.8	62.2	13.1	9.0
1971	492.9	199.3	147.6	21.8	23.9	38.4	17.8	60.3	13.1	9.8
1972	490.2	200.3	147.3	22.8	23.7	41.3	18.0	60.2	13.3	10.0
1973	482.0	200.0	145.2	23.6	23.0	41.2	18.1	59.3	13.1	10.2
1974	458.8	201.5	136.8	23.2	22.1	35.5	17.9	52.7	13.2	10.5
1975	431.2	200.1	123.5	23.7	20.3	34.9	16.7	50.8	13.6	10.2
1976	426.9	202.5	117.4	24.9	19.5	36.8	16.4	48.7	13.2	9.2
1977	413.7	203.5	110.4	24.7	18.2	31.0	15.8	48.8	13.7	9.2
1978	409.9	204.9	103.7	26.3	18.3	34.5	15.2	48.9	12.9	9.2
1979	401.6	204.0	97.1	25.5	17.5	26.1	14.8	46.5	12.6	9.9
1980	412.1	207.9	96.4	28.3	18.1	31.4	15.1	46.4	12.2	10.5
1981	397.0	206.4	89.5	29.0	17.6	30.0	14.2	43.4	12.3	10.1
1982	389.0	208.3	84.2	29.1	17.2	26.5	13.2	40.1	12.5	9.4
1983	388.9	209.1	81.2	31.6	17.6	29.8	12.8	39.1	12.4	8.4
1984	378.8	210.8	78.7	32.4	17.2	30.6	12.7	39.8	12.6	8.1
1985	375.0	211.3	76.6	34.5	17.4	34.5	12.3	38.5	12.5	8.0
1986	365.1	211.5	73.1	34.8	17.2	34.8	11.8	38.6	13.0	8.6
1987	355.9	211.7	71.6	35.0	17.4	33.8	11.7	38.2	12.8	8.3
1988	352.5	212.5	70.6	36.5	18.0	37.3	11.6	38.9	12.5	8.5
1989	332.0	214.2	66.9	36.6	20.5	35.9	11.6	37.7	12.3	8.8
1990	321.8	216.0	65.5	37.2	20.7	36.8	11.1	36.3	12.5	9.5
1991	313.8	215.8	63.2	38.0	20.7	34.9	10.7	34.9	12.3	10.1
1992	306.1	214.3	62.0	37.9	20.8	33.1	10.5	33.4	12.1	9.6
1993	309.9	214.6	63.1	40.9	22.0	35.2	10.3	34.5	12.2	9.8
1994	299.7	213.1	63.1	40.6	22.7	33.9	10.2	34.6	12.1	9.4
1995	296.3	211.7	63.9	40.5	23.4	33.8	10.0	34.9	12.0	8.6
1996	288.3	208.7	63.2	41.0	24.0	33.2	9.8	34.9	11.7	7.8
1997	280.4	205.7	61.8	41.5	24.0	33.6	9.6	34.8	11.4	7.3
1998	272.4	202.4	59.6	42.0	24.2	34.6	9.5	35.0	11.3	6.7
1999	267.8	202.7	61.8	45.8	25.2	23.6	9.7	35.9	10.7	6.2
2000	257.6	199.6	60.9	44.2	25.0	23.7	9.5	34.9	10.4	5.9
2001	247.8	196.0	57.9	43.7	25.3	22.0	9.5	35.7	10.7	7.1
2002	240.4	194.0	56.3	43.7	25.4	22.7	9.3	35.3	10.6	5.9
2003	232.3	190.1	53.5	43.3	25.3	22.0	9.3	37.3	10.8	6.0
2004	217.5	184.6	50.0	41.8	24.4	20.4	8.8	36.6	10.7	5.6
2005	220.0	188.7	48.4	37.8	25.3	21.3	9.3	39.7	11.0	5.6
2006	261.2	180.7	43.6	40.5	23.3	17.8	8.8	39.8	10.9	6.2
2007	190.7	177.5	41.6	41.2	22.4	16.3	8.9	37.8	10.8	5.8
2009	179.8	173.6	38.9	42.2	20.9	16.2	9.2	37.0	11.7	5.5
2011	173.7	168.6	37.9	42.7	21.5	15.7	9.7	38.0	12.0	5.2
